NUTS3;CODE
'EL303';'10555'
'EL303';'10557'
'EL303';'10560'
'EL303';'10675'
'EL303';'10679'
'EL303';'10681'
'EL303';'11251'
'EL303';'11255'
'EL303';'11475'
'EL543';'45500'
'EL526';'62123'
'EL543';'44001'
'EL542';'46300'
'EL611';'43061'
'EL527';'63085'
'EL543';'44007'
'EL531';'50500'
'EL527';'63079'
'EL633';'27052'
'EL633';'27062'
'EL621';'29100'
'EL631';'30026'
'EL631';'30100'
'EL303';'10435'
'EL303';'11633'
'EL301';'14563'
'EL645';'33100'
'EL523';'61100'
'EL632';'25003'
'EL653';'24005'
'EL642';'34100'
'EL653';'24004'
'EL543';'45221'
'EL543';'44006'
'EL611';'43200'
'EL307';'18451'
'EL303';'11361'
'EL525';'60065'
'EL303';'10436'
'EL641';'32008'
'EL613';'37006'
'EL541';'48060'
'EL301';'14562'
'EL653';'24006'
'EL631';'30014'
'EL526';'62053'
'EL515';'64001'
'EL305';'19014'
'EL632';'26242'
'EL307';'18863'
'EL303';'11851'
'EL623';'28300'
'EL525';'60300'
'EL522';'54351'
'EL526';'62300'
'EL304';'17676'
'EL411';'81200'
'EL521';'59200'
'EL532';'52053'
'EL653';'24500'
'EL633';'27061'
'EL515';'64007'
'EL522';'56429'
'EL522';'55535'
'EL524';'58300'
'EL303';'10556'
'EL527';'63086'
'EL531';'50002'
'EL612';'40005'
'EL641';'32007'
'EL622';'49083'
'EL303';'11141'
'EL301';'15235'
'EL301';'15237'
'EL304';'17563'
'EL305';'16673'
'EL305';'14572'
'EL306';'13343'
'EL653';'24009'
'EL307';'18454'
'EL303';'11526'
'EL303';'16342'
'EL303';'16345'
'EL641';'32003'
'EL302';'12244'
'EL543';'45445'
'EL532';'52200'
'EL541';'47100'
'EL412';'83101'
'EL631';'47040'
'EL302';'12132'
'EL522';'57012'
'EL543';'44019'
'EL522';'54643'
'EL533';'53100'
'EL541';'47046'
'EL633';'27068'
'EL303';'11527'
'EL631';'30003'
'EL305';'19005'
'EL522';'57016'
'EL522';'56533'
'EL521';'59300'
'EL515';'65404'
'EL307';'18532'
'EL651';'21300'
'EL302';'12136'
'EL304';'17121'
'EL633';'27058'
'EL422';'84003'
'EL527';'63087'
'EL431';'70013'
'EL431';'70100'
'EL525';'60066'
'EL522';'54453'
'EL522';'54636'
'EL532';'52052'
'EL522';'54645'
'EL306';'19100'
'EL653';'24200'
'EL303';'10434'
'EL303';'11363'
'EL303';'16343'
'EL411';'81100'
'EL527';'63080'
'EL624';'31080'
'EL653';'24022'
'EL633';'27063'
'EL653';'24016'
'EL641';'32012'
'EL621';'29091'
'EL652';'20002'
'EL302';'13122'
'EL304';'18345'
'EL632';'25001'
'EL421';'85102'
'EL613';'37400'
'EL632';'26332'
'EL303';'10562'
'EL642';'34015'
'EL421';'85600'
'EL613';'37009'
'EL612';'40002'
'EL541';'48062'
'EL513';'69300'
'EL631';'30400'
'EL303';'11524'
'EL302';'12131'
'EL632';'25008'
'EL651';'21100'
'EL301';'15343'
'EL653';'24011'
'EL421';'85301'
'EL532';'52058'
'EL543';'44009'
'EL522';'54454'
'EL526';'62125'
'EL301';'14123'
'EL301';'15238'
'EL623';'28086'
'EL422';'84501'
'EL542';'46100'
'EL515';'64004'
'EL527';'63081'
'EL411';'81105'
'EL642';'34009'
'EL632';'26500'
'EL303';'10552'
'EL652';'20300'
'EL642';'34016'
'EL431';'70003'
'EL431';'70011'
'EL543';'44017'
'EL613';'37002'
'EL521';'59032'
'EL533';'53075'
'EL611';'42031'
'EL303';'11142'
'EL303';'11631'
'EL301';'15123'
'EL302';'12243'
'EL302';'12134'
'EL307';'18535'
'EL303';'10437'
'EL653';'24100'
'EL651';'21059'
'EL653';'23057'
'EL301';'15232'
'EL431';'71306'
'EL412';'83200'
'EL543';'45332'
'EL522';'54500'
'EL522';'57021'
'EL613';'38333'
'EL522';'56122'
'EL434';'73009'
'EL434';'73136'
'EL522';'57022'
'EL527';'63075'
'EL522';'54631'
'EL306';'19008'
'EL644';'35016'
'EL303';'10671'
'EL633';'27064'
'EL645';'33200'
'EL633';'27056'
'EL631';'30021'
'EL433';'74060'
'EL522';'57010'
'EL523';'61400'
'EL421';'85105'
