NUTS3;CODE
'NO0A1';'5508'
'NO0A2';'6822'
'NO092';'4701'
'NO020';'2601'
'NO060';'7315'
'NO060';'7878'
'NO083';'1738'
'NO020';'2619'
'NO081';'0753'
'NO0A2';'6995'
'NO092';'4821'
'NO081';'1153'
'NO093';'3133'
'NO060';'7517'
'NO081';'0267'
'NO081';'0980'
'NO081';'0473'
'NO084';'1338'
'NO084';'1410'
'NO081';'0591'
'NO081';'0854'
'NO0A2';'5308'
'NO0A1';'4389'
'NO081';'0597'
'NO020';'2240'
'NO081';'0378'
'NO081';'0663'
'NO0A2';'5146'
'NO081';'0377'
'NO020';'2330'
'NO094';'3747'
'NO085';'3047'
'NO092';'4610'
'NO085';'3355'
'NO085';'3576'
'NO094';'3656'
'NO020';'2953'
'NO073';'9960'
'NO094';'3890'
'NO083';'1621'
'NO0A2';'5257'
'NO081';'0757'
'NO0A2';'5210'
'NO0A1';'4307'
'NO073';'9770'
'NO060';'7047'
'NO081';'0855'
'NO093';'3228'
'NO020';'2410'
'NO093';'3264'
'NO072';'8409'
'NO020';'2653'
'NO020';'2651'
'NO094';'3658'
'NO0A1';'5533'
'NO081';'0951'
'NO060';'7160'
'NO0A3';'6410'
'NO072';'9152'
'NO071';'8211'
'NO0A3';'6523'
'NO0A3';'6408'
'NO083';'1722'
'NO084';'2170'
'NO020';'2218'
'NO085';'3647'
'NO092';'4823'
'NO085';'3032'
'NO081';'0674'
'NO071';'8076'
'NO0A2';'5700'
'NO060';'7089'
'NO093';'3122'
'NO0A1';'4330'
'NO071';'8027'
'NO081';'1158'
'NO083';'1607'
'NO085';'3516'
'NO072';'9017'
'NO0A2';'5018'
'NO081';'0751'
'NO0A1';'4045'
'NO0A2';'5011'
'NO083';'1535'
'NO081';'0460'
'NO071';'8352'
'NO0A1';'4375'
'NO084';'1911'
'NO084';'2092'
'NO081';'0598'
'NO0A3';'6411'
'NO020';'2966'
'NO0A1';'5560'
'NO083';'1892'
'NO072';'9303'
'NO060';'7563'
'NO081';'1055'
'NO020';'2407'
'NO0A1';'4027'
'NO0A2';'5109'
'NO020';'2656'
'NO020';'2123'
'NO083';'1730'
'NO0A2';'5209'
'NO071';'8063'
'NO0A1';'4346'
'NO0A1';'4420'
'NO081';'0790'
'NO081';'0276'
'NO083';'1793'
'NO083';'1525'
'NO020';'2219'
'NO073';'9982'
'NO020';'2323'
'NO0A2';'5911'
'NO084';'3490'
'NO0A2';'5981'
'NO083';'1513'
'NO0A3';'6490'
'NO0A2';'5264'
'NO060';'7505'
'NO0A1';'4308'
'NO0A3';'6363'
'NO060';'7380'
'NO083';'1654'
'NO084';'1407'
'NO0A2';'5118'
'NO0A2';'5366'
'NO081';'0183'
'NO092';'4886'
'NO081';'0266'
'NO081';'0552'
'NO0A1';'4058'
'NO0A1';'4051'
'NO0A1';'4318'
'NO092';'4638'
'NO085';'3408'
'NO083';'1598'
'NO060';'7236'
'NO0A3';'6450'
'NO085';'3519'
'NO085';'3622'
'NO092';'4888'
'NO071';'8146'
'NO093';'3121'
'NO081';'0373'
'NO0A3';'6006'
'NO081';'0781'
'NO020';'2217'
'NO060';'7114'
'NO085';'3525'
'NO060';'7549'
'NO020';'2432'
'NO081';'0272'
'NO0A2';'5642'
'NO0A3';'6200'
'NO0A1';'4152'
'NO094';'3820'
'NO081';'0957'
'NO081';'0365'
'NO060';'7044'
'NO081';'1163'
'NO0A2';'5072'
'NO092';'4612'
'NO071';'8208'
'NO0A2';'5160'
'NO0A2';'5130'
'NO060';'7176'
'NO020';'2266'
'NO0A1';'4316'
'NO081';'1062'
'NO0A2';'5380'
'NO081';'0785'
'NO084';'2014'
'NO020';'2364'
'NO060';'7200'
'NO0A2';'5723'
'NO0A1';'4167'
'NO081';'0784'
'NO081';'0161'
'NO020';'2223'
'NO081';'0472'
'NO093';'3090'
'NO081';'0986'
'NO093';'3110'
'NO020';'2552'
'NO060';'7822'
'NO081';'1165'
'NO0A1';'4264'
'NO060';'7632'
'NO020';'2485'
'NO092';'4608'
'NO0A2';'5081'
'NO0A3';'6010'
'NO060';'7285'
'NO072';'9110'
'NO083';'1639'
'NO081';'0283'
'NO060';'7028'
'NO071';'8357'
'NO0A1';'4376'
'NO092';'4588'
'NO081';'1064'
'NO081';'0265'
'NO084';'2074'
'NO060';'7596'
'NO0A2';'5953'
'NO092';'4735'
'NO0A2';'5734'
'NO060';'7562'
'NO084';'3482'
'NO0A2';'5265'
'NO0A3';'6600'
'NO020';'2390'
'NO071';'8860'
'NO0A2';'6868'
'NO0A3';'6062'
'NO081';'0871'
'NO0A2';'5711'
'NO0A2';'5902'
'NO020';'2339'
'NO0A2';'5742'
'NO072';'9451'
'NO084';'1402'
'NO0A3';'6259'
'NO072';'9296'
'NO084';'1317'
'NO0A1';'4240'
'NO071';'8509'
'NO094';'3789'
'NO081';'1205'
'NO060';'7274'
'NO0A2';'5847'
'NO0A2';'6802'
'NO0A2';'6874'
'NO060';'7321'
'NO0A2';'6820'
'NO092';'4507'
'NO092';'4552'
'NO084';'2167'
'NO0A2';'5779'
'NO060';'7478'
'NO0A2';'5837'
'NO060';'7471'
'NO0A2';'5651'
'NO071';'8393'
'NO0A2';'5899'
