NUTS3;CODE
'PL711';'90-757'
'PL424';'70-505'
'PL514';'53-228'
'PL424';'71-024'
'PL414';'62-330'
'PL621';'14-230'
'PL424';'70-525'
'PL22A';'40-678'
'PL432';'65-082'
'PL22A';'40-423'
'PL613';'85-345'
'PL622';'11-008'
'PL911';'04-783'
'PL633';'81-737'
'PL721';'25-441'
'PL721';'25-711'
'PL721';'25-041'
'PL633';'81-164'
'PL843';'16-404'
'PL432';'65-089'
'PL213';'30-113'
'PL814';'20-151'
'PL911';'00-076'
'PL636';'76-243'
'PL432';'65-160'
'PL213';'30-012'
'PL213';'30-824'
'PL613';'85-567'
'PL414';'62-704'
'PL517';'57-257'
'PL426';'75-330'
'PL711';'92-616'
'PL22C';'43-190'
'PL432';'65-414'
'PL514';'53-118'
'PL426';'75-389'
'PL213';'31-988'
'PL213';'31-999'
'PL415';'60-716'
'PL711';'90-119'
'PL711';'90-130'
'PL711';'90-133'
'PL841';'15-836'
'PL911';'03-642'
'PL911';'00-762'
'PL911';'00-784'
'PL213';'30-350'
'PL841';'15-258'
'PL911';'03-685'
'PL911';'01-233'
'PL911';'01-252'
'PL911';'01-262'
'PL622';'10-125'
'PL622';'10-754'
'PL814';'20-467'
'PL633';'81-338'
'PL721';'25-622'
'PL841';'16-120'
'PL911';'01-241'
'PL911';'01-249'
'PL911';'03-350'
'PL911';'03-964'
'PL415';'61-862'
'PL633';'80-275'
'PL428';'74-111'
'PL416';'63-604'
'PL911';'04-921'
'PL715';'96-104'
'PL841';'15-893'
'PL911';'03-727'
'PL514';'52-114'
'PL514';'53-338'
'PL514';'51-670'
'PL22A';'40-158'
'PL432';'65-341'
'PL213';'32-058'
'PL633';'80-448'
'PL633';'81-116'
'PL911';'02-903'
'PL414';'62-436'
'PL22A';'40-536'
'PL721';'25-140'
'PL22A';'40-564'
'PL823';'35-329'
'PL823';'35-624'
'PL432';'65-004'
'PL432';'65-018'
'PL416';'63-308'
'PL633';'81-518'
'PL633';'81-256'
'PL213';'31-543'
'PL432';'66-630'
'PL523';'46-146'
'PL516';'59-210'
'PL911';'04-312'
'PL517';'57-401'
'PL517';'58-206'
'PL424';'70-396'
'PL415';'61-746'
'PL415';'61-825'
'PL711';'91-340'
'PL618';'89-526'
'PL514';'53-653'
'PL418';'62-064'
'PL22B';'41-250'
'PL22B';'41-253'
'PL213';'30-040'
'PL711';'92-549'
'PL633';'81-367'
'PL814';'20-990'
'PL913';'05-080'
'PL714';'98-215'
'PL823';'35-032'
'PL711';'92-416'
'PL841';'15-114'
'PL922';'09-135'
'PL711';'93-173'
'PL911';'04-441'
'PL911';'04-793'
'PL711';'91-867'
'PL633';'81-156'
'PL424';'70-506'
'PL722';'28-236'
'PL841';'15-260'
'PL424';'70-430'
'PL911';'00-211'
'PL514';'51-669'
'PL711';'91-823'
'PL432';'65-609'
'PL911';'04-652'
'PL821';'48-212'
'PL424';'70-136'
'PL524';'45-528'
'PL523';'46-166'
'PL214';'32-438'
'PL411';'64-970'
'PL213';'31-802'
'PL229';'44-101'
'PL613';'85-090'
'PL619';'88-231'
'PL638';'82-522'
'PL711';'93-144'
'PL424';'70-855'
'PL424';'71-555'
'PL514';'53-135'
'PL424';'70-262'
'PL619';'87-703'
'PL217';'33-140'
'PL424';'71-540'
'PL814';'20-625'
'PL911';'00-792'
'PL911';'02-616'
'PL911';'04-651'
'PL814';'20-434'
'PL417';'63-810'
'PL213';'30-094'
'PL524';'45-715'
'PL427';'78-640'
'PL622';'10-862'
'PL721';'25-656'
'PL911';'02-222'
'PL821';'38-516'
'PL911';'02-351'
'PL925';'08-221'
'PL921';'26-660'
'PL633';'81-423'
'PL711';'93-478'
'PL636';'84-353'
'PL911';'00-645'
'PL633';'81-609'
'PL613';'85-555'
'PL415';'61-488'
'PL424';'71-050'
'PL613';'85-041'
'PL426';'75-245'
'PL426';'75-569'
'PL415';'61-154'
'PL415';'61-507'
'PL524';'45-056'
'PL711';'91-304'
'PL633';'80-766'
'PL911';'00-154'
'PL415';'60-225'
'PL424';'70-761'
'PL219';'34-483'
'PL219';'34-441'
'PL224';'42-160'
'PL219';'34-211'
'PL219';'34-205'
'PL518';'55-505'
'PL823';'35-020'
'PL823';'35-103'
'PL823';'35-116'
'PL821';'38-430'
'PL514';'51-351'
'PL514';'51-413'
'PL821';'38-485'
'PL715';'99-319'
'PL711';'91-116'
'PL841';'15-193'
'PL622';'10-846'
'PL622';'10-853'
'PL622';'10-174'
'PL622';'10-282'
'PL841';'15-441'
'PL721';'25-383'
'PL841';'15-683'
'PL911';'02-594'
'PL911';'02-290'
'PL911';'03-824'
'PL721';'25-524'
'PL721';'25-608'
'PL722';'28-313'
'PL721';'26-070'
'PL22A';'40-574'
'PL841';'15-750'
'PL911';'01-228'
'PL622';'10-587'
'PL711';'92-711'
'PL912';'05-127'
'PL514';'50-383'
'PL21A';'32-503'
'PL219';'34-406'
'PL229';'44-156'
'PL711';'91-166'
'PL633';'80-821'
'PL923';'09-421'
'PL514';'50-227'
'PL514';'50-302'
'PL228';'42-603'
'PL921';'26-611'
'PL415';'61-577'
'PL415';'61-652'
'PL911';'04-180'
'PL911';'01-572'
'PL841';'15-715'
'PL229';'44-105'
'PL711';'94-311'
'PL711';'90-157'
'PL911';'00-173'
'PL424';'71-177'
'PL515';'59-524'
'PL633';'81-210'
'PL911';'04-664'
'PL812';'23-400'
'PL426';'78-103'
'PL514';'50-102'
'PL518';'55-108'
'PL622';'10-343'
'PL514';'50-152'
'PL711';'90-552'
'PL824';'39-216'
'PL517';'57-230'
'PL613';'85-081'
'PL613';'85-795'
'PL524';'45-301'
'PL711';'90-710'
'PL415';'61-149'
'PL814';'20-118'
'PL415';'60-386'
'PL622';'10-116'
'PL711';'94-203'
'PL518';'55-106'
'PL213';'30-418'
'PL432';'65-945'
'PL523';'49-330'
'PL721';'25-727'
'PL911';'02-635'
'PL711';'90-208'
'PL711';'90-232'
'PL711';'94-304'
'PL711';'94-315'
'PL524';'45-950'
'PL432';'65-064'
'PL524';'45-472'
'PL711';'93-176'
'PL432';'65-071'
'PL432';'65-137'
'PL841';'16-002'
'PL229';'44-172'
'PL711';'92-707'
'PL711';'93-130'
'PL711';'91-186'
'PL713';'97-200'
'PL424';'71-254'
'PL424';'71-325'
'PL424';'71-338'
'PL514';'50-140'
'PL427';'78-400'
'PL424';'70-494'
'PL911';'02-932'
'PL613';'85-674'
'PL415';'61-551'
'PL925';'08-110'
'PL922';'09-304'
'PL924';'04-411'
'PL711';'91-233'
'PL713';'97-402'
'PL921';'26-626'
'PL428';'72-511'
'PL911';'03-363'
'PL524';'45-601'
'PL713';'97-545'
'PL822';'39-523'
'PL823';'35-030'
'PL633';'80-606'
'PL514';'51-316'
'PL514';'51-628'
'PL633';'80-719'
'PL911';'01-845'
'PL911';'02-318'
'PL911';'02-679'
'PL622';'11-204'
'PL622';'12-101'
'PL721';'25-036'
'PL822';'27-203'
'PL814';'20-217'
'PL911';'03-901'
'PL911';'03-909'
'PL911';'00-702'
'PL841';'16-102'
'PL911';'01-172'
'PL911';'02-761'
'PL622';'10-324'
'PL814';'20-035'
'PL721';'25-655'
'PL711';'90-011'
'PL711';'90-024'
'PL711';'94-204'
'PL633';'80-125'
'PL633';'81-311'
'PL633';'81-583'
'PL721';'25-132'
'PL514';'51-138'
'PL715';'99-100'
'PL715';'99-418'
'PL924';'06-300'
'PL923';'09-501'
'PL912';'05-120'
'PL715';'99-417'
'PL912';'05-079'
'PL415';'61-729'
'PL432';'66-213'
'PL911';'04-980'
'PL911';'03-771'
'PL22A';'40-335'
'PL218';'33-380'
'PL622';'10-185'
'PL721';'25-448'
'PL721';'25-026'
'PL911';'01-254'
'PL711';'92-648'
'PL524';'47-133'
'PL514';'53-439'
'PL514';'50-428'
'PL633';'80-828'
'PL227';'44-300'
'PL623';'19-400'
'PL913';'05-155'
'PL415';'61-289'
'PL22A';'40-375'
'PL219';'34-513'
'PL622';'10-159'
'PL22A';'40-721'
'PL514';'51-146'
'PL514';'51-531'
'PL213';'31-709'
'PL911';'01-137'
'PL911';'03-429'
'PL616';'87-214'
'PL415';'61-525'
'PL424';'71-225'
'PL426';'75-395'
'PL841';'15-620'
'PL514';'54-429'
'PL514';'51-147'
'PL415';'60-193'
'PL415';'60-243'
'PL415';'60-527'
'PL622';'10-171'
'PL911';'02-296'
'PL911';'04-928'
'PL911';'01-914'
'PL518';'52-251'
'PL514';'53-506'
'PL841';'15-865'
'PL213';'30-408'
'PL711';'92-433'
'PL432';'65-345'
'PL911';'01-568'
'PL721';'25-090'
'PL633';'81-049'
'PL622';'10-278'
'PL711';'94-231'
'PL925';'08-113'
'PL514';'51-123'
'PL214';'32-400'
'PL426';'75-648'
'PL415';'60-549'
'PL415';'61-651'
'PL424';'71-481'
'PL518';'56-300'
'PL911';'02-991'
'PL911';'03-814'
'PL911';'04-764'
'PL921';'26-901'
'PL213';'31-990'
'PL814';'23-100'
'PL424';'71-842'
'PL415';'61-894'
'PL814';'20-828'
'PL721';'25-525'
'PL911';'04-506'
'PL824';'39-308'
'PL823';'35-124'
'PL426';'75-399'
'PL613';'85-714'
'PL426';'75-376'
'PL911';'00-207'
'PL911';'01-865'
'PL714';'98-355'
'PL633';'80-442'
'PL633';'80-449'
'PL633';'80-462'
'PL633';'80-473'
'PL633';'80-510'
'PL633';'80-512'
'PL633';'80-513'
'PL22A';'40-719'
'PL711';'93-241'
'PL711';'93-245'
'PL711';'93-248'
'PL636';'77-100'
'PL636';'77-132'
'PL636';'77-123'
'PL636';'76-214'
'PL633';'81-622'
'PL633';'81-637'
'PL633';'81-639'
'PL633';'81-649'
'PL633';'81-659'
'PL633';'81-704'
'PL633';'81-708'
'PL633';'81-716'
'PL633';'81-726'
'PL633';'81-730'
'PL633';'81-733'
'PL633';'81-738'
'PL633';'81-742'
'PL514';'53-651'
'PL418';'62-070'
'PL711';'92-551'
'PL415';'60-587'
'PL415';'60-595'
'PL415';'60-601'
'PL415';'60-604'
'PL415';'60-605'
'PL415';'60-237'
'PL711';'92-625'
'PL711';'92-627'
'PL711';'92-637'
'PL711';'92-644'
'PL711';'92-719'
'PL711';'92-722'
'PL711';'92-724'
'PL711';'92-726'
'PL711';'92-731'
'PL711';'92-737'
'PL711';'92-741'
'PL711';'92-760'
'PL417';'64-423'
'PL214';'42-410'
'PL414';'62-406'
'PL411';'62-285'
'PL418';'64-514'
'PL22A';'41-530'
'PL414';'62-420'
'PL417';'64-316'
'PL411';'62-097'
'PL22A';'40-602'
'PL711';'92-782'
'PL711';'93-036'
'PL711';'93-102'
'PL711';'93-113'
'PL711';'93-134'
'PL424';'70-101'
'PL424';'71-893'
'PL424';'71-897'
'PL427';'73-240'
'PL428';'72-100'
'PL427';'73-200'
'PL427';'73-220'
'PL427';'73-231'
'PL427';'78-450'
'PL427';'78-452'
'PL428';'72-221'
'PL428';'72-514'
'PL427';'73-260'
'PL427';'78-405'
'PL428';'72-012'
'PL841';'15-363'
'PL841';'15-372'
'PL841';'15-376'
'PL841';'15-379'
'PL841';'15-381'
'PL622';'10-584'
'PL622';'10-601'
'PL622';'10-613'
'PL622';'10-614'
'PL622';'10-616'
'PL622';'10-630'
'PL622';'10-631'
'PL622';'10-638'
'PL622';'10-645'
'PL621';'14-202'
'PL621';'14-240'
'PL621';'14-521'
'PL911';'01-250'
'PL911';'01-309'
'PL911';'01-313'
'PL911';'01-321'
'PL911';'01-336'
'PL911';'01-341'
'PL911';'02-827'
'PL911';'00-522'
'PL911';'00-528'
'PL911';'00-529'
'PL911';'00-535'
'PL911';'00-546'
'PL911';'03-919'
'PL911';'03-920'
'PL911';'03-928'
'PL911';'03-938'
'PL911';'00-639'
'PL911';'00-640'
'PL911';'00-649'
'PL911';'00-651'
'PL911';'00-655'
'PL911';'00-656'
'PL911';'02-955'
'PL911';'02-966'
'PL911';'02-970'
'PL911';'02-977'
'PL911';'02-978'
'PL911';'02-984'
'PL911';'02-987'
'PL622';'10-325'
'PL622';'10-326'
'PL622';'10-334'
'PL622';'10-346'
'PL622';'10-349'
'PL622';'10-352'
'PL622';'10-363'
'PL622';'10-382'
'PL622';'10-401'
'PL622';'10-407'
'PL622';'10-537'
'PL622';'10-543'
'PL911';'02-993'
'PL911';'02-998'
'PL911';'03-001'
'PL911';'03-008'
'PL911';'03-009'
'PL911';'03-024'
'PL911';'03-031'
'PL911';'03-032'
'PL911';'01-636'
'PL911';'01-639'
'PL911';'01-640'
'PL911';'01-680'
'PL911';'01-687'
'PL911';'01-688'
'PL911';'01-693'
'PL911';'01-698'
'PL911';'01-699'
'PL911';'01-707'
'PL911';'01-747'
'PL911';'01-770'
'PL911';'03-183'
'PL22A';'40-024'
'PL22A';'40-160'
'PL22A';'40-242'
'PL22A';'40-337'
'PL22A';'40-341'
'PL22A';'40-511'
'PL22A';'40-805'
'PL432';'65-377'
'PL432';'65-050'
'PL432';'65-939'
'PL711';'92-713'
'PL613';'85-024'
'PL426';'75-213'
'PL426';'75-373'
'PL426';'75-625'
'PL633';'81-110'
'PL634';'83-033'
'PL712';'95-205'
'PL711';'90-034'
'PL711';'90-513'
'PL711';'93-633'
'PL711';'94-020'
'PL711';'91-044'
'PL711';'91-130'
'PL711';'91-761'
'PL633';'80-637'
'PL633';'80-772'
'PL633';'80-851'
'PL711';'93-408'
'PL711';'93-490'
'PL621';'14-505'
'PL622';'11-103'
'PL633';'81-086'
'PL822';'37-752'
'PL721';'26-113'
'PL721';'25-213'
'PL721';'25-418'
'PL721';'25-612'
'PL821';'36-207'
'PL911';'00-109'
'PL911';'01-220'
'PL841';'15-795'
'PL841';'15-134'
'PL841';'15-166'
'PL822';'37-550'
'PL812';'23-421'
'PL823';'35-315'
'PL911';'00-811'
'PL911';'00-838'
'PL911';'00-842'
'PL911';'00-891'
'PL911';'01-033'
'PL911';'02-767'
'PL432';'65-139'
'PL921';'26-914'
'PL415';'60-123'
'PL415';'61-644'
'PL524';'45-806'
'PL524';'45-843'
'PL523';'49-315'
'PL613';'85-176'
'PL613';'85-438'
'PL426';'75-433'
'PL426';'75-647'
'PL426';'75-650'
'PL415';'61-328'
'PL415';'61-359'
'PL415';'61-457'
'PL415';'60-313'
'PL415';'61-627'
'PL515';'59-600'
'PL523';'46-112'
'PL517';'57-255'
'PL613';'85-757'
'PL415';'60-538'
'PL415';'60-612'
'PL415';'60-649'
'PL415';'60-705'
'PL415';'60-713'
'PL428';'74-500'
'PL515';'59-915'
'PL613';'85-333'
'PL613';'85-654'
'PL613';'87-129'
'PL426';'75-522'
'PL426';'75-703'
'PL415';'60-575'
'PL415';'61-159'
'PL424';'71-876'
'PL424';'70-045'
'PL424';'70-257'
'PL424';'70-310'
'PL619';'87-708'
'PL518';'55-091'
'PL619';'87-630'
'PL428';'72-022'
'PL911';'02-749'
'PL911';'03-110'
'PL911';'03-158'
'PL911';'03-411'
'PL911';'03-569'
'PL911';'00-681'
'PL911';'01-472'
'PL823';'35-106'
'PL824';'39-333'
'PL721';'26-112'
'PL721';'27-233'
'PL721';'25-223'
'PL721';'25-647'
'PL721';'25-718'
'PL911';'00-014'
'PL921';'26-720'
'PL924';'06-231'
'PL633';'81-354'
'PL633';'81-439'
'PL633';'81-562'
'PL814';'20-710'
'PL814';'20-813'
'PL814';'20-871'
'PL514';'52-207'
'PL514';'52-340'
'PL514';'53-672'
'PL514';'54-402'
'PL514';'50-243'
'PL514';'50-451'
'PL524';'47-154'
'PL524';'47-161'
'PL217';'33-161'
'PL431';'66-304'
'PL925';'08-112'
'PL923';'09-472'
'PL911';'00-423'
'PL911';'01-128'
'PL911';'01-156'
'PL911';'00-481'
'PL911';'02-969'
'PL911';'03-018'
'PL911';'03-385'
'PL911';'03-603'
'PL911';'03-644'
'PL911';'03-730'
'PL922';'06-450'
'PL924';'07-436'
'PL714';'98-405'
'PL921';'26-804'
'PL921';'26-434'
'PL426';'75-844'
'PL415';'61-165'
'PL415';'60-128'
'PL415';'61-763'
'PL427';'78-520'
'PL424';'70-381'
'PL424';'70-412'
'PL424';'71-634'
'PL424';'71-827'
'PL424';'70-132'
'PL911';'03-625'
'PL911';'03-636'
'PL218';'38-322'
'PL622';'10-056'
'PL622';'10-429'
'PL622';'10-562'
'PL713';'97-512'
'PL713';'97-203'
'PL711';'92-313'
'PL711';'92-605'
'PL711';'92-712'
'PL711';'93-015'
'PL711';'93-412'
'PL524';'45-316'
'PL524';'45-414'
'PL524';'45-432'
'PL524';'45-720'
'PL524';'45-807'
'PL613';'87-140'
'PL613';'86-050'
'PL524';'46-048'
'PL613';'85-133'
'PL613';'85-435'
'PL613';'85-569'
'PL912';'05-071'
'PL821';'38-214'
'PL841';'15-871'
'PL841';'15-001'
'PL821';'38-440'
'PL823';'35-305'
'PL823';'35-515'
'PL823';'35-603'
'PL815';'24-170'
'PL721';'25-530'
'PL814';'20-333'
'PL814';'20-508'
'PL814';'20-734'
'PL815';'23-304'
'PL924';'07-230'
'PL922';'09-163'
'PL426';'75-678'
'PL415';'60-388'
'PL415';'60-780'
'PL415';'60-853'
'PL415';'61-231'
'PL415';'60-122'
'PL415';'60-148'
'PL424';'70-391'
'PL424';'70-475'
'PL424';'71-001'
'PL424';'71-011'
'PL514';'50-363'
'PL514';'50-366'
'PL514';'50-437'
'PL514';'50-443'
'PL514';'50-559'
'PL514';'51-128'
'PL523';'49-353'
'PL21A';'32-546'
'PL217';'33-160'
'PL431';'69-100'
'PL22B';'43-600'
'PL926';'05-610'
'PL911';'02-668'
'PL811';'21-543'
'PL913';'05-825'
'PL814';'20-302'
'PL814';'20-486'
'PL823';'39-103'
'PL721';'26-234'
'PL633';'81-165'
'PL633';'81-440'
'PL633';'81-711'
'PL633';'81-854'
'PL913';'05-191'
'PL843';'16-420'
'PL823';'36-016'
'PL913';'05-808'
'PL721';'25-259'
'PL721';'25-366'
'PL721';'25-457'
'PL432';'65-229'
'PL218';'34-615'
'PL228';'41-905'
'PL432';'66-008'
'PL213';'30-532'
'PL213';'30-006'
'PL213';'30-047'
'PL213';'30-128'
'PL424';'71-907'
'PL424';'70-130'
'PL424';'70-311'
'PL514';'52-122'
'PL514';'52-423'
'PL514';'53-022'
'PL514';'53-611'
'PL514';'54-144'
'PL514';'50-047'
'PL514';'50-263'
'PL514';'50-417'
'PL514';'50-556'
'PL514';'51-617'
'PL22B';'42-403'
'PL218';'34-623'
'PL822';'37-705'
'PL841';'15-369'
'PL841';'15-618'
'PL841';'15-811'
'PL841';'15-813'
'PL841';'15-863'
'PL841';'15-233'
'PL912';'05-304'
'PL823';'35-235'
'PL823';'35-605'
'PL814';'20-084'
'PL814';'20-136'
'PL814';'20-291'
'PL524';'45-761'
'PL517';'58-124'
'PL617';'88-101'
'PL613';'85-433'
'PL613';'85-731'
'PL514';'50-087'
'PL514';'50-113'
'PL514';'51-530'
'PL418';'64-530'
'PL414';'62-561'
'PL217';'33-270'
'PL21A';'32-652'
'PL22A';'40-065'
'PL22A';'40-462'
'PL22A';'40-576'
'PL22A';'40-738'
'PL22A';'40-801'
'PL22A';'40-804'
'PL22A';'40-844'
'PL432';'65-534'
'PL432';'65-088'
'PL21A';'34-142'
'PL214';'30-740'
'PL911';'00-538'
'PL911';'00-560'
'PL911';'02-042'
'PL911';'04-194'
'PL911';'04-317'
'PL911';'04-458'
'PL911';'04-622'
'PL911';'01-595'
