NUTS3;CODE
'CH021';'2538'
'CH070';'6633'
'CH021';'2536'
'CH021';'2537'
'CH070';'6636'
'CH021';'2542'
'CH070';'6637'
'CH021';'2543'
'CH023';'2540'
'CH070';'6631'
'CH021';'2534'
'CH021';'2535'
'CH070';'6618'
'CH021';'2532'
'CH021';'2533'
'CH070';'6616'
'CH024';'2523'
'CH070';'6622'
'CH033';'4856'
'CH063';'8832'
'CH040';'8833'
'CH063';'8836'
'CH040';'8954'
'CH040';'8955'
'CH040';'8952'
'CH040';'8953'
'CH033';'4852'
'CH033';'8956'
'CH033';'4853'
'CH033';'8957'
'CH040';'8951'
'CH040';'8942'
'CH040';'8934'
'CH040';'8932'
'CH040';'8933'
'CH040';'8926'
'CH040';'8925'
'CH040';'8914'
'CH040';'8915'
'CH040';'8912'
'CH040';'8913'
'CH033';'4814'
'CH033';'8918'
'CH033';'8919'
'CH033';'4812'
'CH033';'8916'
'CH033';'4813'
'CH033';'8917'
'CH033';'4802'
'CH040';'8906'
'CH033';'4803'
'CH040';'8907'
'CH033';'4800'
'CH040';'8904'
'CH061';'4806'
'CH033';'8905'
'CH040';'8910'
'CH040';'8911'
'CH040';'8908'
'CH033';'4805'
'CH032';'4410'
'CH040';'8909'
'CH032';'4411'
'CH055';'8898'
'CH055';'8896'
'CH032';'4414'
'CH055';'8897'
'CH032';'4415'
'CH040';'8902'
'CH023';'4412'
'CH040';'8903'
'CH023';'4413'
'CH032';'4402'
'CH057';'8506'
'CH057';'8507'
'CH057';'8505'
'CH057';'8508'
'CH040';'8498'
'CH040';'8499'
'CH040';'8496'
'CH040';'8497'
'CH057';'8500'
'CH040';'8488'
'CH040';'8489'
'CH040';'8494'
'CH040';'8495'
'CH040';'8492'
'CH040';'8493'
'CH040';'8482'
'CH040';'8483'
'CH040';'8486'
'CH040';'8487'
'CH040';'8484'
'CH040';'8474'
'CH040';'8475'
'CH040';'8472'
'CH040';'8478'
'CH040';'8479'
'CH040';'8476'
'CH040';'8477'
'CH040';'8466'
'CH040';'8467'
'CH040';'8464'
'CH040';'8465'
'CH040';'8471'
'CH040';'8468'
'CH040';'8458'
'CH040';'8459'
'CH040';'8457'
'CH040';'8462'
'CH040';'8463'
'CH040';'8460'
'CH040';'8461'
'CH040';'8450'
'CH040';'8451'
'CH021';'2520'
'CH070';'6611'
'CH024';'2525'
'CH021';'2514'
'CH021';'2515'
'CH070';'6614'
'CH021';'2512'
'CH021';'2513'
'CH070';'6612'
'CH021';'2518'
'CH070';'6613'
'CH021';'2516'
'CH021';'2517'
'CH070';'6600'
'CH021';'2504'
'CH021';'2505'
'CH070';'6605'
'CH070';'6594'
'CH070';'6595'
'CH070';'6592'
'CH070';'6593'
'CH070';'6598'
'CH070';'6599'
'CH070';'6596'
'CH021';'2502'
'CH070';'6597'
'CH021';'2503'
'CH061';'6203'
'CH061';'6206'
'CH061';'6207'
'CH061';'6204'
'CH024';'2105'
'CH061';'6205'
'CH024';'2108'
'CH061';'6192'
'CH061';'6196'
'CH021';'6197'
'CH024';'2103'
'CH024';'2088'
'CH061';'6182'
'CH061';'6170'
'CH024';'2087'
'CH024';'2074'
'CH061';'6174'
'CH024';'2075'
'CH024';'2072'
'CH024';'2073'
'CH061';'6173'
'CH061';'6162'
'CH061';'6163'
'CH061';'6166'
'CH024';'2067'
'CH061';'6167'
'CH024';'2065'
'CH061';'6154'
'CH024';'2068'
'CH061';'6152'
'CH061';'6153'
'CH024';'2058'
'CH024';'2056'
'CH061';'6156'
'CH024';'2057'
'CH061';'6146'
'CH024';'2063'
'CH061';'6147'
'CH061';'6144'
'CH061';'6145'
'CH024';'2054'
'CH024';'2052'
'CH061';'6264'
'CH024';'2053'
'CH061';'6265'
'CH061';'6262'
'CH061';'6263'
'CH061';'6260'
'CH061';'6248'
'CH061';'6252'
'CH061';'6253'
'CH061';'6242'
'CH061';'6243'
'CH061';'6246'
'CH061';'6247'
'CH061';'6244'
'CH061';'6245'
'CH061';'6234'
'CH061';'6235'
'CH061';'6232'
'CH024';'2149'
'CH061';'6233'
'CH061';'6236'
'CH061';'6231'
'CH061';'6218'
'CH061';'6216'
'CH061';'6217'
'CH061';'6222'
'CH024';'2123'
'CH061';'6221'
'CH052';'8454'
'CH052';'8455'
'CH040';'8452'
'CH032';'4466'
'CH040';'8453'
'CH032';'4467'
'CH057';'8570'
'CH032';'4464'
'CH032';'4465'
'CH057';'8574'
'CH023';'4468'
'CH057';'8575'
'CH032';'4469'
'CH057';'8572'
'CH032';'4458'
'CH057';'8573'
'CH032';'4456'
'CH032';'4457'
'CH057';'8560'
'CH032';'4462'
'CH057';'8561'
'CH032';'4463'
'CH057';'8566'
'CH032';'4460'
'CH032';'4461'
'CH057';'8564'
'CH032';'4450'
'CH057';'8565'
'CH032';'4451'
'CH057';'8554'
'CH032';'4448'
'CH057';'8555'
